game_day,club,step_number,total_steps,difficulty,nationality,pool_size,sample_players,valid_players
79,West Ham United,4,4,The Unicorn,Ecuador,1,"[""Enner Valencia""]","[""Enner Valencia""]"
80,Barcelona,1,4,Easy,Brazil,27,"[""Neymar"", ""Philippe Coutinho"", ""Ronaldo""]","[""Neymar"", ""Philippe Coutinho"", ""Ronaldo"", ""Ronaldinho"", ""Raphinha"", ""Romário"", ""Rivaldo"", ""Juliano Belletti"", ""Edmílson"", ""Adriano"", ""Sylvinho"", ""Rafael Alcântara"", ""Rafinha"", ""Dani Alves"", ""Maxwell"", ""Arthur Melo"", ""Malcom"", ""Vitor Roque"", ""Emerson Royal"", ""Paulinho"", ""Neto"", ""Keirrison"", ""Marlon"", ""Henrique"", ""Douglas"", ""Matheus Fernandes"", ""Geovanni""]"
80,Barcelona,2,4,Medium,Chile,3,"[""Alexis Sánchez"", ""Arturo Vidal"", ""Claudio Bravo""]","[""Alexis Sánchez"", ""Arturo Vidal"", ""Claudio Bravo""]"
80,Barcelona,3,4,Hard,Poland,2,"[""Robert Lewandowski"", ""Wojciech Szczesny""]","[""Robert Lewandowski"", ""Wojciech Szczesny""]"
80,Barcelona,4,4,The Unicorn,Bosnia & Herzegovina,1,"[""Miralem Pjanić""]","[""Miralem Pjanić""]"
81,Arsenal,1,4,Easy,France,21,"[""Olivier Giroud"", ""Thierry Henry"", ""William Saliba""]","[""Olivier Giroud"", ""Thierry Henry"", ""William Saliba"", ""Sylvain Wiltord"", ""Nicolas Anelka"", ""Robert Pires"", ""Alexandre Lacazette"", ""Patrick Vieira"", ""Samir Nasri"", ""Mattéo Guendouzi"", ""Jeff Reine-Adélaïde"", ""Francis Coquelin"", ""Laurent Koscielny"", ""Bacary Sagna"", ""Sébastien Squillaci"", ""Mathieu Debuchy"", ""Mathieu Flamini"", ""Abou Diaby"", ""Yaya Sanogo"", ""Carl Parisio"", ""Guillaume Warmuz""]"
81,Arsenal,2,4,Medium,Sweden,5,"[""Viktor Gyökeres"", ""Freddie Ljungberg"", ""Kim Källström""]","[""Viktor Gyökeres"", ""Freddie Ljungberg"", ""Kim Källström"", ""Sebastian Larsson"", ""Kristoffer Olsson""]"
81,Arsenal,3,4,Hard,Nigeria,3,"[""Alex Iwobi"", ""Nwankwo Kanu"", ""Semi Ajayi""]","[""Alex Iwobi"", ""Nwankwo Kanu"", ""Semi Ajayi""]"
81,Arsenal,4,4,The Unicorn,Norway,2,"[""Martin Ødegaard"", ""Havard Nordtveit""]","[""Martin Ødegaard"", ""Havard Nordtveit""]"
82,Juventus,1,4,Easy,France,18,"[""Paul Pogba"", ""Zinedine Zidane"", ""Thierry Henry""]","[""Paul Pogba"", ""Zinedine Zidane"", ""Thierry Henry"", ""Kingsley Coman"", ""Adrien Rabiot"", ""Randal Kolo Muani"", ""Patrick Vieira"", ""Nicolas Anelka"", ""Lilian Thuram"", ""Michel Platini"", ""Blaise Matuidi"", ""Didier Deschamps"", ""Patrice Evra"", ""David Trezeguet"", ""Khéphren Thuram"", ""Pierre Kalulu"", ""Marley Aké"", ""Landry Bonnefoi""]"
82,Juventus,2,4,Medium,Germany,6,"[""Jürgen Kohler"", ""Stefan Reuter"", ""Andreas Möller""]","[""Jürgen Kohler"", ""Stefan Reuter"", ""Andreas Möller"", ""Sami Khedira"", ""Emre Can"", ""Benedikt Höwedes""]"
82,Juventus,3,4,Hard,Spain,7,"[""Álvaro Morata"", ""Dean Huijsen"", ""Fernando Llorente""]","[""Álvaro Morata"", ""Dean Huijsen"", ""Fernando Llorente"", ""Pol Lirola"", ""Pol García"", ""Jesus Garcia Tena"", ""Nico Hidalgo""]"
82,Juventus,4,4,The Unicorn,Venezuela,1,"[""Tomás Rincón""]","[""Tomás Rincón""]"
83,Bayern Munich,1,4,Easy,France,14,"[""Michael Olise"", ""Kingsley Coman"", ""Dayot Upamecano""]","[""Michael Olise"", ""Kingsley Coman"", ""Dayot Upamecano"", ""Lucas Hernández"", ""Benjamin Pavard"", ""Jean-Pierre Papin"", ""Franck Ribéry"", ""Bixente Lizarazu"", ""Willy Sagnol"", ""Corentin Tolisso"", ""Mathys Tel"", ""Sacha Boey"", ""Tanguy Nianzou"", ""Michaël Cuisance""]"
83,Bayern Munich,2,4,Medium,Croatia,9,"[""Ivan Perišić"", ""Mario Mandžukić"", ""Ivica Olić""]","[""Ivan Perišić"", ""Mario Mandžukić"", ""Ivica Olić"", ""Josip Stanisic"", ""Lovro Zvonarek"", ""Gabriel Vidovic"", ""Filip Pavić"", ""Fabian Benko"", ""Robert Kovac""]"
83,Bayern Munich,3,4,Hard,England,3,"[""Harry Kane"", ""Eric Dier"", ""Omar Richards""]","[""Harry Kane"", ""Eric Dier"", ""Omar Richards""]"
83,Bayern Munich,4,4,The Unicorn,Chile,1,"[""Arturo Vidal""]","[""Arturo Vidal""]"
84,Paris Saint-Germain,1,4,Easy,France,100,"[""Kylian Mbappé"", ""Ousmane Dembélé"", ""Désiré Doué""]","[""Kylian Mbappé"", ""Ousmane Dembélé"", ""Désiré Doué"", ""Kingsley Coman"", ""Adrien Rabiot"", ""Randal Kolo Muani"", ""Lucas Hernández"", ""Grégory Coupet"", ""Bernard Lama"", ""David Ginola"", ""Claude Makélélé"", ""Ludovic Giuly"", ""Nicolas Anelka"", ""Blaise Matuidi"", ""Youri Djorkaeff"", ""Christopher Nkunku"", ""Hugo Ekitiké"", ""Lucas Digne"", ""Bradley Barcola"", ""Warren Zaïre-Emery"", ""Mike Maignan"", ""Moussa Diaby"", ""Presnel Kimpembe"", ""Jonathan Ikoné"", ""Senny Mayulu"", ""Lucas Chevalier"", ""Layvin Kurzawa"", ""Colin Dagba"", ""Arnaud Kalimuendo"", ""Odsonne Édouard"", ""Jean-Kévin Augustin"", ""Benjamin Stambouli"", ""Nordi Mukiele"", ""Kévin Gameiro"", ""Lassana Diarra"", ""Yohan Cabaye"", ""Alphonse Areola"", ""Mamadou Sakho"", ""Jérémy Ménez"", ""El Chadaille Bitshiabu"", ""Jérôme Rothen"", ""Tanguy Nianzou"", ""Quentin Ndjantou"", ""Hatem Ben Arfa"", ""Yoram Zague"", ""Mathieu Bodmer"", ""Stanley Nsoki"", ""Axel Tape"", ""Guillaume Hoarau"", ""Loïc Mbe Soh"", ""Mickaël Landreau"", ""Noham Kamara"", ""Edouard Michut"", ""Ethan Mbappé"", ""Pierre-Alain Frau"", ""Antoine Bernede"", ""Timothée Pembélé"", ""Sylvain Armand"", ""Dimitri Lucea"", ""Clément Chantôme"", ""Christophe Jallet"", ""Nicolas Douchez"", ""Zoumana Camara"", ""Didier Digard"", ""David N'Gog"", ""Ayman Kari"", ""Grégory Bourillon"", ""Mathis Jangéal"", ""Pierre Mounguengue"", ""Hervin Ongenda"", ""Jean-Christophe Bahebeck"", ""Rémy Descamps"", ""Ronan Le Crom"", ""Romain Rocchi"", ""Alexandre Letellier"", ""Bandiougou Fadiga"", ""Nathan Bitumazala"", ""Lorenzo Callegari"", ""Kenny Nagera"", ""Sébastien Cibois"", ""Timothée Taufflieb"", ""Frédéric Déhu"", ""Benoît Cauet"", ""Nicolas Cousin"", ""Noah Nsoki"", ""Stéphane Pédron"", ""Lionel Potillon"", ""Jérôme Leroy"", ""Thomas Levaux"", ""Laurent Leroy"", ""Francis Llacer"", ""Vincent Fernandez"", ""Fabrice Fiorèse"", ""Laurent Robert"", ""Éric Cubilier"", ""Yann Lachuer"", ""Jérôme Alonzo"", ""Roméo Calenda"", ""Maxime Partouche"", ""Grégory Paisley""]"
84,Paris Saint-Germain,2,4,Medium,Portugal,10,"[""Vitinha"", ""João Neves"", ""Nuno Mendes""]","[""Vitinha"", ""João Neves"", ""Nuno Mendes"", ""Danilo Pereira"", ""Pauleta"", ""Gonçalo Ramos"", ""Gonçalo Guedes"", ""Renato Sanches"", ""Hugo Leal"", ""Agostinho""]"
84,Paris Saint-Germain,3,4,Hard,Morocco,3,"[""Achraf Hakimi"", ""Naoufel El Hannach"", ""Ilyes Housni""]","[""Achraf Hakimi"", ""Naoufel El Hannach"", ""Ilyes Housni""]"
84,Paris Saint-Germain,4,4,The Unicorn,Slovakia,1,"[""Milan Škriniar""]","[""Milan Škriniar""]"
85,Ajax,1,4,Easy,Netherlands,118,"[""Johan Cruyff"", ""Frenkie de Jong"", ""Daley Blind""]","[""Johan Cruyff"", ""Frenkie de Jong"", ""Daley Blind"", ""Matthijs de Ligt"", ""Ryan Gravenberch"", ""Frank de Boer"", ""Maarten Stekelenburg"", ""Jaap Stam"", ""Ronald de Boer"", ""Klaas-Jan Huntelaar"", ""Ronald Koeman"", ""Patrick Kluivert"", ""Donny van de Beek"", ""Kenneth Vermeer"", ""Wesley Sneijder"", ""Rafael van der Vaart"", ""Clarence Seedorf"", ""Frank Rijkaard"", ""Jurriën Timber"", ""Marco van Basten"", ""Ryan Babel"", ""Gregory van der Wiel"", ""Andy van der Meyde"", ""Davy Klaassen"", ""Nigel de Jong"", ""Johnny Heitinga"", ""Edwin van der Sar"", ""Marc Overmars"", ""Dennis Bergkamp"", ""Edgar Davids"", ""Jasper Cillessen"", ""Wout Weghorst"", ""Steven Bergwijn"", ""Steven Berghuis"", ""Brian Brobbey"", ""Justin Kluivert"", ""Jorrel Hato"", ""Noa Lang"", ""Joël Veltman"", ""Mitchel Bakker"", ""Kenneth Taylor"", ""Jurgen Ekkelenkamp"", ""Kenny Tete"", ""Owen Wijndal"", ""Perr Schuurs"", ""Quincy Promes"", ""Dani de Wit"", ""Youri Regeer"", ""Youri Baas"", ""Azor Matusiwa"", ""Mike van der Hoorn"", ""Kaj Sierhuis"", ""Devyne Rensch"", ""Daley Sinkgraven"", ""Branco van den Boomen"", ""Mickey van der Hart"", ""Aaron Bouwman"", ""Anwar El Ghazi"", ""Jaïro Riedewald"", ""Julian Rijkhoff"", ""Sean Steur"", ""Siem de Jong"", ""Tim Krul"", ""Kian Fitz-Jim"", ""Dies Janse"", ""Jinairo Johnson"", ""Kjell Scherpen"", ""Denny Landzaat"", ""Carel Eiting"", ""Mitchell Dijks"", ""Queensy Menig"", ""Demy de Zeeuw"", ""Nick Viergever"", ""Theo Janssen"", ""Silvano Vos"", ""Deyovaisio Zeefuik"", ""Jan-Arie van der Heijden"", ""Gerald Alders"", ""Ricardo van Rhijn"", ""Kik Pierie"", ""Jay Gorter"", ""Ricardo Kishna"", ""Don-Angelo Konadu"", ""Derk Boerrigter"", ""Remko Pasveer"", ""Pelle Clement"", ""Tristan Gooijer"", ""Pharell Nash"", ""Lerin Duarte"", ""Rob Wielaert"", ""Abdelhak Nouri"", ""Dennis Gentenaar"", ""Robbert Schilder"", ""Danny Hoesen"", ""Olivier Aertssen"", ""Amourricho van Axel Dongen"", ""Benjamin van Leer"", ""Cedric van der Gun"", ""Dico Koppers"", ""Jaydon Banel"", ""Joeri Heerkens"", ""Sander Boschker"", ""Diederik Boer"", ""Ronald Graafland"", ""Ruben Ligeon"", ""Jeroen Verhoeven"", ""Donovan Slijngard"", ""Mitchell Piqué"", ""Norbert Alblas"", ""Dave van den Bergh"", ""André Ooijer"", ""John Heitinga"", ""Dennis Schulp"", ""Milan Berck Beelenkamp"", ""Olaf Lindenbergh"", ""Gerald Sibon"", ""Ruud Kras"", ""Michael Timisela""]"
85,Ajax,2,4,Medium,Morocco,8,"[""Hakim Ziyech"", ""Noussair Mazraoui"", ""Anass Salah-Eddine""]","[""Hakim Ziyech"", ""Noussair Mazraoui"", ""Anass Salah-Eddine"", ""Oussama Idrissi"", ""Mohamed Ihattaren"", ""Zakaria Labyad"", ""Rayane Bounida"", ""Abdellah Ouazane""]"
85,Ajax,3,4,Hard,Colombia,3,"[""Davinson Sánchez"", ""Mateo Cassierra"", ""Luis Orejuela""]","[""Davinson Sánchez"", ""Mateo Cassierra"", ""Luis Orejuela""]"
85,Ajax,4,4,The Unicorn,Ukraine,1,"[""Oleksandr Zinchenko""]","[""Oleksandr Zinchenko""]"
86,Benfica,1,4,Easy,Argentina,23,"[""Angel Di Maria"", ""Nicolás Otamendi"", ""Enzo Fernández""]","[""Angel Di Maria"", ""Nicolás Otamendi"", ""Enzo Fernández"", ""Javier Saviola"", ""Lisandro López"", ""Enzo Pérez"", ""Eduardo Salvio"", ""Nico Gaitán"", ""Gianluca Prestianni"", ""Pablo Aimar"", ""Ezequiel Garay"", ""Franco Cervi"", ""Enzo Barrenechea"", ""Benjamín Rollheiser"", ""Franco Jara"", ""Facundo Ferreyra"", ""Gonzalo Bergessio"", ""Germán Conti"", ""Cristian Lema"", ""Oscar Benítez"", ""José Luis Fernández"", ""José Shaffer"", ""Andrés Díaz""]"
86,Benfica,2,4,Medium,Greece,7,"[""Vangelis Pavlidis"", ""Odysseas Vlachodimos"", ""Konstantinos Mitroglou""]","[""Vangelis Pavlidis"", ""Odysseas Vlachodimos"", ""Konstantinos Mitroglou"", ""Andreas Samaris"", ""Konstantinos Katsouranis"", ""Georgios Karagounis"", ""Takis Fyssas""]"
86,Benfica,3,4,Hard,Sweden,3,"[""Victor Lindelöf"", ""Samuel Dahl"", ""Anders Andersson""]","[""Victor Lindelöf"", ""Samuel Dahl"", ""Anders Andersson""]"
86,Benfica,4,4,The Unicorn,Peru,1,"[""André Carrillo""]","[""André Carrillo""]"
87,Galatasaray,1,4,Easy,Turkey,159,"[""Kaan Ayhan"", ""Kerem Aktürkoğlu"", ""Caner Erkin""]","[""Kaan Ayhan"", ""Kerem Aktürkoğlu"", ""Caner Erkin"", ""Barış Alper Yılmaz"", ""Ozan Kabak"", ""Uğurcan Çakır"", ""Abdülkerim Bardakcı"", ""Yunus Akgün"", ""Arda Turan"", ""Eren Elmalı"", ""Serdar Aziz"", ""Halil Dervişoğlu"", ""Oğulcan Çağlayan"", ""Emre Mor"", ""Emin Bayram"", ""Erencan Yardımcı"", ""Bartuğ Elmaz"", ""Sinan Bolat"", ""Taylan Antalyalı"", ""Metehan Baltacı"", ""Selcuk Inan"", ""Berkan Kutlu"", ""Emre Akbaba"", ""Gökdeniz Gürpüz"", ""Mehmet Topal"", ""Emre Belözoglu"", ""Hamit Altintop"", ""Emre Kılınç"", ""Ali Yavuz Kol"", ""Eyüp Aydın"", ""Olcan Adin"", ""Semih Kaya"", ""Ahmed Kutucu"", ""Arda Ünyay"", ""Servet Cetin"", ""Efe Akman"", ""Tolga Cigerci"", ""Necati Ates"", ""Emre Taşdemir"", ""Veysel Sarı"", ""Emre Çolak"", ""Günay Güvenç"", ""Berat Luş"", ""Sercan Yildirim"", ""Sinan Gümüş"", ""Sabri Sarioglu"", ""Hakan Balta"", ""Umut Bulut"", ""Şener Özbayraklı"", ""Gökhan Zan"", ""Yasin Öztekin"", ""Adem Büyük"", ""Emrah Başsan"", ""Aytaç Kara"", ""Engin Baytar"", ""Jankat Yılmaz"", ""Cenk Gönen"", ""Ahmet Calik"", ""Tarik Camdal"", ""Musa Çağıran"", ""Ali Yeşilyurt"", ""Serdar Özkan"", ""Yekta Kurtulus"", ""Celil Yüksel"", ""Ugur Demirok"", ""Erman Kilic"", ""Ömer Bayram"", ""Hasan Kabze"", ""Mustafa Sarp"", ""Salih Dursun"", ""Ali Turan"", ""Emre Güngör"", ""Yigit Gökoglan"", ""Ugur Ucar"", ""Orkun Usak"", ""Orhan Ak"", ""Aydin Yilmaz"", ""Ceyhun Gülselam"", ""Mehmet Güven"", ""Emrah Eren"", ""Furkan Özcal"", ""Kazımcan Karataş"", ""Hamza Akman"", ""Alpaslan Öztürk"", ""Mehmet Batdal"", ""Ali Turap Bülbül"", ""Okan Kocuk"", ""Caglar Birinci"", ""Bilal Kisa"", ""Batuhan Şen"", ""Ufuk Ceylan"", ""Ferhat Öztorun"", ""Umut Gündogan"", ""Fatih Öztürk"", ""Atakan Ordu"", ""Ada Yüzgeç"", ""Serkan Kurtulus"", ""Jem Karacan"", ""Özgür Can Özcan"", ""Fevzi Elmas"", ""Mugdat Celik"", ""Dogan Can Davas"", ""Eray Iscan"", ""Ugur Akdemir"", ""Burak Yılmaz"", ""Serdar Eylik"", ""Berk Ünsal"", ""Süleyman Lus"", ""Atalay Babacan"", ""Gökay Güney"", ""Berk Neziroglulari"", ""Birhan Vatansever"", ""Ahmet Yıldırım"", ""Ismail Cipe"", ""Volkan Pala"", ""Kaan Arslan"", ""Berk Balaban"", ""Abdussamed Karnucu"", ""Erkan Süer"", ""Baran Demiroğlu"", ""Emirhan Civelek"", ""Baran Aksaka"", ""Boran Güngör"", ""Alper Tezcan"", ""Olcan Adın"", ""Tamer Tuna"", ""Mehmet Polat"", ""Emrah Umut"", ""Erhan Namlı"", ""Mehmet Bölükbaşı"", ""Erkan Ferin"", ""Erman Kılıç"", ""Okan Buruk"", ""Gündüz Gürol Azer"", ""Cafercan Aksu"", ""Murat Sözkesen"", ""Anıl Dilaver"", ""İlker Erbay"", ""Hakan Ünsal"", ""Yaser Yıldız"", ""Kerem İnan"", ""Ceyhun Eriş"", ""Saffet Akyüz"", ""Hakan Şükür"", ""Burak Akdiş"", ""Oğuz Sabankay"", ""Vedat İnceefe"", ""İlyas Kahraman"", ""Abdullah Ercan"", ""Yalçın Ayhan"", ""Faruk Atalay"", ""Tugay Kerimoğlu"", ""Siraçhan Nas"", ""Ahmet Çalık"", ""Rasim Vardar"", ""Fatih Akyel"", ""Sercan Yıldırım"", ""Bilal Kısa"", ""Adnan İlgin""]"
87,Galatasaray,2,4,Medium,France,8,"[""Franck Ribéry"", ""Tanguy Ndombélé"", ""Steven Nzonzi""]","[""Franck Ribéry"", ""Tanguy Ndombélé"", ""Steven Nzonzi"", ""Léo Dubois"", ""Sacha Boey"", ""Bafétimbi Gomis"", ""Cédric Carrasso"", ""Lionel Carole""]"
87,Galatasaray,3,4,Hard,Nigeria,5,"[""Victor Osimhen"", ""Peter Etebo"", ""Henry Onyekuru""]","[""Victor Osimhen"", ""Peter Etebo"", ""Henry Onyekuru"", ""Jesse Sekidika"", ""Valentine Ozornwafor""]"
87,Galatasaray,4,4,The Unicorn,North Macedonia,1,"[""Goran Pandev""]","[""Goran Pandev""]"
88,Celtic,1,4,Easy,England,29,"[""Joe Hart"", ""Alex Oxlade-Chamberlain"", ""Jonjoe Kenny""]","[""Joe Hart"", ""Alex Oxlade-Chamberlain"", ""Jonjoe Kenny"", ""Fraser Forster"", ""Patrick Roberts"", ""Scott Sinclair"", ""Carlton Cole"", ""Jahmai Simpson-Pusey"", ""Nathaniel Phillips"", ""Gary Hooper"", ""Callum Osmand"", ""Kelvin Wilson"", ""Osaze Urhoghide"", ""Tyler Blackett"", ""Benjamin Arthur"", ""Karamoko Dembélé"", ""Darnell Fisher"", ""Liam Shaw"", ""Nat Phillips"", ""Kevin Pilkington"", ""Tommy Johnson"", ""Alan Thompson"", ""Steve Guppy"", ""Josh Thompson"", ""Chris Sutton"", ""Alan Stubbs"", ""Lee Naylor"", ""Andy Payton"", ""Dion Dublin""]"
88,Celtic,2,4,Medium,Denmark,8,"[""Kasper Schmeichel"", ""Matt O'Riley"", ""Oliver Abildgaard""]","[""Kasper Schmeichel"", ""Matt O'Riley"", ""Oliver Abildgaard"", ""Erik Sviatchenko"", ""Morten Rasmussen"", ""Morten Wieghorst"", ""Ulrik Laursen"", ""Thomas Gravesen""]"
88,Celtic,3,4,Hard,Finland,2,"[""Teemu Pukki"", ""Viljami Sinisalo""]","[""Teemu Pukki"", ""Viljami Sinisalo""]"
88,Celtic,4,4,The Unicorn,Canada,1,"[""Alistair Johnston""]","[""Alistair Johnston""]"
89,Real Madrid,1,4,Easy,Brazil,18,"[""Vinicius Junior"", ""Casemiro"", ""Ronaldo""]","[""Vinicius Junior"", ""Casemiro"", ""Ronaldo"", ""Rodrygo"", ""Kaká"", ""Éder Militão"", ""Fabinho"", ""Marcelo"", ""Roberto Carlos"", ""Zé Roberto"", ""Robinho"", ""Emerson"", ""Danilo"", ""Endrick"", ""Reinier"", ""Willian José"", ""Lucas Silva"", ""Vinícius Tobias""]"
89,Real Madrid,2,4,Medium,Argentina,10,"[""Angel Di Maria"", ""Javier Saviola"", ""Walter Samuel""]","[""Angel Di Maria"", ""Javier Saviola"", ""Walter Samuel"", ""Esteban Cambiasso"", ""Gonzalo Higuaín"", ""Fernando Redondo"", ""Nico Paz"", ""Franco Mastantuono"", ""Fernando Gago"", ""Franchu""]"
89,Real Madrid,3,4,Hard,England,6,"[""Jude Bellingham"", ""Trent Alexander-Arnold"", ""David Beckham""]","[""Jude Bellingham"", ""Trent Alexander-Arnold"", ""David Beckham"", ""Michael Owen"", ""Steve McManaman"", ""Jonathan Woodgate""]"
89,Real Madrid,4,4,The Unicorn,Norway,1,"[""Martin Ødegaard""]","[""Martin Ødegaard""]"
90,Manchester United,1,4,Easy,Brazil,10,"[""Casemiro"", ""Matheus Cunha"", ""Fred""]","[""Casemiro"", ""Matheus Cunha"", ""Fred"", ""Antony"", ""Alex Telles"", ""Anderson"", ""Andreas Pereira"", ""Rafael"", ""Fabio"", ""Kléberson""]"
90,Manchester United,2,4,Medium,Belgium,7,"[""Romelu Lukaku"", ""Senne Lammens"", ""Adnan Januzaj""]","[""Romelu Lukaku"", ""Senne Lammens"", ""Adnan Januzaj"", ""Marouane Fellaini"", ""Largie Ramazani"", ""Ritchie De Laet"", ""Marnick Vermijl""]"
90,Manchester United,3,4,Hard,Chile,2,"[""Alexis Sánchez"", ""Ángelo Henríquez""]","[""Alexis Sánchez"", ""Ángelo Henríquez""]"
90,Manchester United,4,4,The Unicorn,Austria,1,"[""Marcel Sabitzer""]","[""Marcel Sabitzer""]"
91,Sporting CP,1,4,Easy,Argentina,14,"[""Marcos Rojo"", ""Marcos Acuña"", ""Luciano Vietto""]","[""Marcos Rojo"", ""Marcos Acuña"", ""Luciano Vietto"", ""Alan Ruiz"", ""Rodrigo Battaglia"", ""Emiliano Insúa"", ""Fabián Rinaudo"", ""Hernán Barcos"", ""Marcelo Meli"", ""Jonathan Silva"", ""Valentín Viola"", ""Mateo Tanlongo"", ""Franco Caballero"", ""Facundo Quiroga""]"
91,Sporting CP,2,4,Medium,Colombia,6,"[""Luis Suárez"", ""Santiago Arias"", ""Teófilo Gutiérrez""]","[""Luis Suárez"", ""Santiago Arias"", ""Teófilo Gutiérrez"", ""Cristián Borja"", ""Fredy Montero"", ""Leonardo Ruiz""]"
91,Sporting CP,3,4,Hard,England,2,"[""Eric Dier"", ""Marcus Edwards""]","[""Eric Dier"", ""Marcus Edwards""]"
91,Sporting CP,4,4,The Unicorn,Sweden,1,"[""Viktor Gyökeres""]","[""Viktor Gyökeres""]"
92,Sevilla,1,4,Easy,Argentina,25,"[""Diego Maradona"", ""Diego Simeone"", ""Matías Almeyda""]","[""Diego Maradona"", ""Diego Simeone"", ""Matías Almeyda"", ""Javier Saviola"", ""Éver Banega"", ""Marcos Acuña"", ""Lucas Ocampos"", ""Gonzalo Montiel"", ""Joaquín Correa"", ""Erik Lamela"", ""Valentín Barco"", ""Gabriel Mercado"", ""Luciano Vietto"", ""Alejo Veliz"", ""Franco Vázquez"", ""Diego Perotti"", ""Guido Pizarro"", ""Papu Gómez"", ""Matías Kranevitter"", ""Federico Fazio"", ""Federico Gattoni"", ""Nicolás Pareja"", ""Walter Montoya"", ""Mariano Barbosa"", ""Lautaro Acosta""]"
92,Sevilla,2,4,Medium,Chile,5,"[""Alexis Sánchez"", ""Iván Zamorano"", ""Gabriel Suazo""]","[""Alexis Sánchez"", ""Iván Zamorano"", ""Gabriel Suazo"", ""Gary Medel"", ""Bryan Rabello""]"
92,Sevilla,3,4,Hard,Morocco,4,"[""Youssef En-Nesyri"", ""Yassine Bounou"", ""Oussama Idrissi""]","[""Youssef En-Nesyri"", ""Yassine Bounou"", ""Oussama Idrissi"", ""Munir El Haddadi""]"
92,Sevilla,4,4,The Unicorn,Czech Republic,1,"[""Tomáš Vaclík""]","[""Tomáš Vaclík""]"
93,Chelsea,1,4,Easy,France,20,"[""N'Golo Kanté"", ""Olivier Giroud"", ""Nicolas Anelka""]","[""N'Golo Kanté"", ""Olivier Giroud"", ""Nicolas Anelka"", ""Didier Deschamps"", ""Claude Makélélé"", ""Marcel Desailly"", ""Christopher Nkunku"", ""Wesley Fofana"", ""Malo Gusto"", ""Axel Disasi"", ""Kurt Zouma"", ""Benoît Badiashile"", ""Tiemoué Bakayoko"", ""Lesley Ugochukwu"", ""Malang Sarr"", ""Loïc Rémy"", ""Mathis Amougou"", ""Claudio Gomes"", ""Frank Leboeuf"", ""Jean-Yves Anis""]"
93,Chelsea,2,4,Medium,Germany,9,"[""Kai Havertz"", ""Timo Werner"", ""Antonio Rüdiger""]","[""Kai Havertz"", ""Timo Werner"", ""Antonio Rüdiger"", ""Michael Ballack"", ""André Schürrle"", ""Marko Marin"", ""Robert Huth"", ""Niclas Heimann"", ""Sebastian Kneißl""]"
93,Chelsea,3,4,Hard,United States,5,"[""Christian Pulisic"", ""Matt Miazga"", ""Caleb Wiley""]","[""Christian Pulisic"", ""Matt Miazga"", ""Caleb Wiley"", ""Gabriel Slonina"", ""Kyle Scott""]"
93,Chelsea,4,4,The Unicorn,Morocco,1,"[""Hakim Ziyech""]","[""Hakim Ziyech""]"
94,Roma,1,4,Easy,Brazil,21,"[""Marquinhos"", ""Alisson"", ""Adriano""]","[""Marquinhos"", ""Alisson"", ""Adriano"", ""Emerson"", ""Aldair"", ""Maicon"", ""Cafu"", ""Wesley"", ""Gerson"", ""Roger Ibañez"", ""Dodô"", ""Juan Jesus"", ""Juan"", ""Michel Bastos"", ""Leandro Castán"", ""Rodrigo Taddei"", ""Bruno Peres"", ""Marquinho"", ""Vagner"", ""Daniel Fuzato"", ""Jonatan Lucca""]"
94,Roma,2,4,Medium,Portugal,6,"[""Rui Patrício"", ""Renato Sanches"", ""Sérgio Oliveira""]","[""Rui Patrício"", ""Renato Sanches"", ""Sérgio Oliveira"", ""Mário Rui"", ""Antunes"", ""João Costa""]"
94,Roma,3,4,Hard,Germany,2,"[""Mats Hummels"", ""Antonio Rüdiger""]","[""Mats Hummels"", ""Antonio Rüdiger""]"
94,Roma,4,4,The Unicorn,Armenia,1,"[""Henrikh Mkhitaryan""]","[""Henrikh Mkhitaryan""]"
95,RB Leipzig,1,4,Easy,Germany,37,"[""Joshua Kimmich"", ""Timo Werner"", ""Nico Schlotterbeck""]","[""Joshua Kimmich"", ""Timo Werner"", ""Nico Schlotterbeck"", ""David Raum"", ""Lukas Klostermann"", ""Brajan Gruda"", ""Benjamin Henrichs"", ""Eric Martel"", ""Davie Selke"", ""Ridle Baku"", ""Vitaly Janelt"", ""Assan Ouédraogo"", ""Marcel Halstenberg"", ""Tom Krauß"", ""Rocco Reitz"", ""Diego Demme"", ""Christopher Lenz"", ""Max Finkgräfe"", ""Nuha Jatta"", ""Marvin Compper"", ""Janis Blaswich"", ""Anthony Jung"", ""Benno Schmitz"", ""Dominik Kaiser"", ""Marius Müller"", ""Philipp Tschauner"", ""Viggo Gebel"", ""Dennis Borkowski"", ""Federico Palacios"", ""Faik Sakar"", ""Denis Thomalla"", ""Sidney Raebiger"", ""Sanoussy Ba"", ""Fabrice Hartmann"", ""Niclas Stierlin"", ""Joscha Wosz"", ""Erik Majetschak""]"
95,RB Leipzig,2,4,Medium,Netherlands,8,"[""Xavi Simons"", ""Lutsharel Geertruida"", ""Brian Brobbey""]","[""Xavi Simons"", ""Lutsharel Geertruida"", ""Brian Brobbey"", ""Justin Kluivert"", ""Ezechiel Banzuzi"", ""Noah Ohio"", ""Ayodele Thomas"", ""Solomon Bonnah""]"
95,RB Leipzig,3,4,Hard,Denmark,2,"[""Yussuf Poulsen"", ""Conrad Harder""]","[""Yussuf Poulsen"", ""Conrad Harder""]"
